repo_owner,repo_name,Category,Number of Components,Low,Medium,High,Critical,Total Vulnerabilities,CWE Tags,vulnerability-proneness-all,commits,branches,releases,forks,watchers,stargazers,contributors,size,totalIssues,openIssues,totalPullRequests,openPullRequests,codeLines,labels,topics,lang_shell,lang_makefile,lang_cplusplus,lang_typescript,lang_nix,lang_jinja,lang_css,lang_smarty,lang_dockerfile,lang_mustache,lang_java,lang_rust,lang_python,lang_swift,lang_objective_c,lang_javascript,lang_php,lang_odin,lang_hcl,lang_agda,lang_cmake,lang_c#,lang_nunjucks,lang_batchfile,lang_dart,lang_lua,lang_html,lang_handlebars,lang_vue,lang_powershell,lang_kotlin,lang_ruby,lang_julia,lang_jq,description,primary_language,license_name,security_policy_enabled,vulnerability_alerts_enabled,stargazers_count,network_count,subscribers_count,languages
greentf,upload-thunderstore-package,publishing,6,0,0,0,0,0,,0.0,30,5,16,4,2,15,3,174,30,0,16,0,174000,9," thunderstore, northstar",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Github action that uses the thunderstore CLI to upload a package to thunderstore,Shell,GNU General Public License v3.0,False,True,15.0,4.0,2.0,"['Shell', 'JavaScript', 'Dockerfile']"
hardnorth,github-version-generate,publishing,37,0,1,2,0,3," cwe-080,  cwe-116, cwe-020",3.0,30,2,9,3,2,24,2,1391,30,0,30,0,1391000,10," bump,  bump-version,  bumping,  bumpversion,  generate,  github,  prerelease,  release,  release-automation,  release-pipelines,  version,  versioning, actions",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"A GitHub action for application version bump, generation, reading and format in release pipelines",JavaScript,Apache License 2.0,False,True,24.0,3.0,2.0,['JavaScript']
hatsunemiku3939,direnv-action,testing,71,0,1,5,0,6," cwe-338,  cwe-400,  cwe-730, cwe-020",6.0,30,4,8,12,3,27,3,5226,30,8,30,3,5226000,11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Provide environment variables via direnv.,JavaScript,MIT License,False,True,28.0,12.0,3.0,['JavaScript']
jamesives,fetch-api-data-action,utilities,473,1,0,1,0,2," cwe-770, cwe-1333",2.0,30,7,27,13,2,115,7,35535,30,3,30,2,35535000,23," actions,  api,  cicd,  continuous-delivery,  fetch,  github-action,  github-actions,  github-actions-typescript,  hacktoberfest,  workflow,  workflow-configuration, action",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"🚚  GitHub action for handling authenticated API requests, allowing you to save the data from the request into your workspace as an environment variable and a .json file.",TypeScript,MIT License,True,True,117.0,13.0,2.0,"['TypeScript', 'JavaScript']"
jamesives,github-pages-deploy-action,deployment,509,1,0,1,0,2," cwe-770, cwe-1333",2.0,30,14,30,367,18,4352,30,85019,30,9,30,3,85019000,30," actions,  cicd,  continuous-delivery,  continuous-deployment,  continuous-integration,  deploy,  deployer,  deployment,  gh-pages,  ghpages,  github-action,  github-actions,  github-enterprise,  github-pages,  hacktoberfest,  static,  workflow,  workflow-configuration,  workflow-runs, action",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,🚀 Automatically deploy your project to GitHub Pages using GitHub Actions. This action can be configured to push your production-ready code into any branch you'd like.,TypeScript,MIT License,True,True,4362.0,368.0,18.0,"['TypeScript', 'JavaScript', 'HTML']"
jarvusinnovations,background-action,utilities,34,0,1,2,0,3," cwe-088,  cwe-312,  cwe-359,  cwe-532,  cwe-918, cwe-078",3.0,30,4,5,10,5,33,7,2378,30,6,30,2,2378000,12," bg,  command,  fg,  logging,  process,  wait-on, background",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Background commands with log tailing/capture; waits until file/port/socket/http are ready to proceed. Isolates/dedupe errors.,JavaScript,Apache License 2.0,False,True,34.0,10.0,5.0,['JavaScript']
jasonetco,build-and-tag-action,publishing,80,0,1,4,1,6," cwe-1333,  cwe-173,  cwe-74, cwe-1321",6.0,30,1,16,36,4,96,7,539,30,16,30,7,539000,10,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,📦🔖 A GitHub Action for publishing JavaScript Actions,TypeScript,MIT License,False,True,96.0,36.0,4.0,['TypeScript']
jasonetco,create-an-issue,project management,112,0,2,3,0,5," cwe-080,  cwe-116,  cwe-1333,  cwe-79, cwe-020",5.0,30,4,22,87,10,274,11,1221,30,21,30,5,1221000,10,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A GitHub Action for creating a new issue from a template file.,TypeScript,MIT License,False,True,276.0,88.0,10.0,['TypeScript']
jetbrains,qodana-action,security,320,0,4,4,0,8," cwe-080,  cwe-116,  cwe-117,  cwe-1333,  cwe-367,  cwe-377,  cwe-378,  cwe-434,  cwe-912, cwe-020",8.0,30,24,30,40,15,270,15,20491,30,4,30,3,20491000,12," azure-extensions,  azure-pipelines,  code-quality,  code-review,  code-scanning,  devsecops,  dotnet,  github-actions,  go,  java,  javascript,  kotlin,  php,  python,  qodana,  sarif,  static-analysis,  static-code-analysis,  typescript, actions",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"⚙️ Scan your Go, Java, Kotlin, PHP, Python, JavaScript, TypeScript, .NET projects at GitHub with Qodana. This repository contains Qodana for Azure, GitHub, CircleCI and Gradle",JavaScript,Apache License 2.0,True,True,269.0,40.0,15.0,"['JavaScript', 'TypeScript', 'Kotlin', 'Shell']"
jorelali,setup-elm,continuous integration,7,0,0,0,0,0,,0.0,30,2,6,6,3,29,7,108,12,1,8,0,108000,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Set up your GitHub Actions workflow with a specific version of Elm,JavaScript,MIT License,False,True,29.0,6.0,3.0,['JavaScript']
jtalk,url-health-check-action,testing,35,0,0,0,0,0,,0.0,30,1,13,18,3,75,5,252,29,1,17,0,252000,10,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A cURL-based health check with build-in retry ,JavaScript,MIT License,False,True,75.0,18.0,3.0,['JavaScript']
julienkode,team-labeler-action,code review,589,1,0,2,0,3," cwe-1333,  cwe-400, cwe-020",3.0,30,15,6,43,2,49,10,55643,30,9,30,7,55643000,11," github,  github-actions,  javascript,  labeler-action,  pull-request,  teams,  typescript,  workflow, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,⚡️ Github action to label your pull requests based on the author name ⚡️,TypeScript,Apache License 2.0,False,True,49.0,43.0,2.0,"['TypeScript', 'JavaScript']"
kylemayes,install-llvm-action,dependency management,284,0,2,1,0,3," cwe-200,  cwe-367, cwe-1333",3.0,30,2,29,52,6,110,11,1473,30,3,30,2,1473000,10,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,A GitHub Action for downloading and installing LLVM and Clang binaries.,TypeScript,Apache License 2.0,False,True,112.0,53.0,6.0,"['TypeScript', 'PowerShell']"
legion2,swagger-ui-action,utilities,41,0,0,2,0,2,cwe-020,2.0,30,8,13,8,2,53,4,2942,30,11,30,7,2942000,10," documentation-tool,  github-page,  openapi,  swagger-ui,  workflow, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Generate Swagger UI in a GitHub Actions workflow,TypeScript,MIT License,False,True,54.0,8.0,2.0,"['TypeScript', 'HTML', 'JavaScript']"
louisbrunner,checks-action,api management,40,0,2,1,0,3," cwe-117, cwe-020",3.0,30,2,14,57,5,207,7,2013,30,4,30,0,2013000,12," checks,  checks-api,  github,  hacktoberfest, actions",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,GitHub Action which wraps calls to GitHub Checks API,TypeScript,MIT License,False,True,209.0,57.0,5.0,"['TypeScript', 'JavaScript']"
luisalejandro,movie-box,utilities,200,0,1,3,0,4," cwe-1333,  cwe-79,  cwe-918, cwe-020",4.0,30,7,4,8,2,23,4,868,30,3,30,3,868000,13," movie-box,  trakt,  trakt-api,  trakt-tv,  watched-movies, gist",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,📺 Get your last watched movies and shows (+more) report from trakt.tv in a GitHub Gist. ,JavaScript,GNU General Public License v3.0,False,True,23.0,8.0,2.0,"['JavaScript', 'Makefile', 'Dockerfile', 'Smarty']"
markusjx,install-boost,continuous integration,120,2,4,6,0,12," cwe-080,  cwe-116,  cwe-1321,  cwe-200,  cwe-284,  cwe-400,  cwe-730,  cwe-918, cwe-020",12.0,30,4,15,4,2,68,4,3507,30,2,24,2,3507000,10," boost,  cplusplus,  cpp,  github-actions,  macos,  ubuntu,  windows, actions",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Install boost on Github actions,TypeScript,MIT License,False,False,68.0,4.0,2.0,"['TypeScript', 'CMake', 'C++']"
